question,answer
What do brokers do with bad stock?,"For every seller, there's a buyer. Buyers may have any reason for wanting to buy (bargain shopping, foolish belief in a crazy business, etc).  The party (brokerage, market maker, individual) owning the stock at the time the company goes out of business is the loser . But in a general panic, not every company is going to go out of business. So the party owning those stocks can expect to recover some, or all, of the value at some point in the future. Brokerages all reserve the right to limit margin trading (required for short selling), and during a panic would likely not allow you to short a stock they feel is a high risk for them."
Why do investors buy stock that had appreciated?,"You seem to prefer to trade like I do: ""Buy low, sell high."" But there are some people that prefer a different way: ""Buy high, sell higher."" A stock that has ""just appreciated"" is ""in motion."" That is a ""promise"" (not always kept) that it will continue to go higher. Some people want stocks that not only go higher, but also SOON. The disadvantage of ""buy low, sell high"" is that the stock can stay low for some time. So that's a strategy for patient investors like you and me."
Is it ever a good idea to close credit cards?,"Yes, it can be a good idea to close unused credit cards.  I am going to give some reasons why it can be a good idea to close unused accounts, and then I will talk about why it is NOT necessarily a bad idea. Why it can be a good idea to close unused accounts ""I'd like to close the cards.""  That is reason enough.   Simplifying your financial life is a good thing.  Fewer accounts let you focus your energy on the accounts that you actually use. Unused accounts still need to be monitored for fraud. You mentioned that you have high credit card balances that you are carrying.  This may indicate that you have trouble using credit responsibly, and having more credit available to you might be a temptation for you. If these unused cards have annual fees, keeping them open will cost money. Unused cards sometimes get closed by the bank due to inactivity.  As a result, the advice often given is that, in addition to not closing them, you are supposed to charge something to it every month.  This, of course, takes more of your time and energy to worry about, as well as giving you another monthly bill to pay. Why it is NOT necessarily a bad idea to close unused accounts Other answers will tell you that it may hurt your credit score for two reasons: it would increase your utilization and lower your average account age.  Before we talk about the validity of these two points, we need to discuss the importance of the credit score. Depending on what your credit score currently is, these actions may have minimal impact on your life.  If you are in the mid 700's or higher, your score is excellent, and closing these cards will likely not impact anything for you in a significant way. If you aren't that high in your score yet, do you have an immediate need for a high score?  Are you planning on getting more credit cards, or take out any more loans?  I would suggest that, since you have credit card debt, you shouldn't be taking out any new loans until you get that cleaned up.  So your score in the mean time is not very important. Are you currently working on eliminating this credit card debt?  If so, your utilization number will improve, even after you close these accounts, when you get those paid off.  Utilization has only a temporary effect on your score; when your utilization improves, your score improves immediately. Your average account age may or may not improve when you close these accounts, depending on how old they are compared to the accounts you are leaving open.  However, the impact of this might not be as much as you think. I realize that this advice is different from other answers, or other things that you may read online.  But in my own life, I do a lot of things that are supposedly bad for the credit score: I only have two credit cards, ages 2.5 and 1.5 years.  (I closed my other cards when I got these.)  My typical monthly utilization is around 25% on these cards, although I pay off the balance in full each month, never paying interest.  I have no car loan anymore, and my mortgage is only 4 months old.  No other debt.  Despite those ""terrible"" credit practices, my credit score is very high. Conclusion Make your payments on time, get out of debt, and your score will be fine.  Don't keep unwanted accounts open just because someone told you that you should."
If something is coming into my account will it be debit or credit in my account?,"The bank will make this even more confusing because they use the terms from their own perspective. From the bank's perspective  (printed on your statements) credit: Money into your account  (increases the bank's liabilities) debit: Money out of your account  (decrease bank liabilities) From your perspective: It depends on the nature of the transfer of money, but here are the most common for a personal account. Income into your account: Credit Expenses out of your account: Debit Payment on a loan made for an asset (house/car): Credit for the loan account, debit for the equity account for the car/house/etc. Yes, it's complicated. Neither credits nor debits are always a + or -. That's why I agree with the advice of the others here that double-entry accounting is overkill for your personal finances. Note: I simplified the above examples for the purpose of clarity. Technically every transaction in double entry accounting includes both a credit and a debit (hence the ""double"" in the name). In fact, sometimes a transaction involves more than one credit or debit, but always at least one of each. Also, this is for EACH party. So any transaction between you and your bank involves at least FOUR debits and/or credits when all involved are considered."
What one bit of financial advice do you wish you could've given yourself five years ago?,When I was contracting I wish I had joined a tax efficient umbrella organisation rather than just work as a sole trader. I also wish I had put money aside to pay my taxes rather than just spend it all. :(
"When investing, is the risk/reward tradeoff linear?","Ditto Bill and I upvoted his answer. But let me add a bit. If everyone knew exactly what the risk was for every investment, then prices would be bid up or down until every stock (or bond or derivative or whatever) was valued at exactly risk times potential profit. (Or more precisely, integral of risk times potential profit.) If company A was 100% guaranteed to make $1 million profit this year, while company B had 50% change to make a $2 million profit and 50% to make $0, and every investor in the world knew that, then I'd expect the total price of all shares of the two stocks to stabilize at the same value. The catch to that, though, is that no one really knows the risk. The risk isn't like, we're going to roll a die and if it comes up even the company makes $1 million and if it comes up odd the company makes $0, so we could calculate the exact probability. The risk comes from lack of information. Will consumers want to buy this new product? How many? What are they willing to pay? How capable is the new CEO? Etc. It's very hard to calculate probabilities on these things. How can you precisely calculate the probability that unforeseen events will occur? So in real life prices are muddled. The risk/reward ratio should be roughly sort of approximately linear, but that's about the most one can say."
How can I transfer and consolidate my 401k's and other options?,"The simplest way to consolidate the funds your old 401(k) plans is by doing what's called a Direct Rollover (whereby the funds go directly into the new plan and skips you completely) from each of the old plans into either an IRA that you establish with a provider of your choice or even into your current employer's 401(k) plan if that is available. That way, the funds are in one central account and available to invest. Plus it eliminates the mandatory 20% withholding if the rollover is indirect and is sent to you first before the deposit into the new plan. It is important to bear in mind that you have 60 calendar days from the date of distribution to get the full amount into the new plan and a rollover is considered a tax reportable, but not necessarily a taxable event provided you deposit the funds within the time frame allotted."
What market conditions favor small cap stocks over medium cap stocks?,I think to answer this question it is best for you to learn more about why people diversify through asset allocation. Look at related questions involving Asset Allocation here.   I've asked a couple questions about asset allocation - I think you'll find the top rated answer on this post useful.
"Why I cannot find a ""Pure Cash"" option in 401k investments?","The short term bond fund, which you are pretty certain to have as an option, functions in this capacity.  Its return will be low, but positive, in all but the most dramatic of rising rate scenarios. I recall a year in the 90's when rates rose enough that the bond fund return was zero or very slightly negative. It's not likely that you'd have access to simple money market or cash option."
Why would a bank need to accept deposits from private clients if it can just borrow from the Federal Reserve?,"Borrowing money from the Federal Reserve (or other central banks) requires full collateral, generally in terms of treasury bonds. In that sense it is only a source of liquidity - getting short term money by pledging guaranteed future cash flows, not random commercial loans. To get a dollar from FR today requires freezing a dollar that you already had. Private deposits, on the other hand, require only a keeping a fraction of them as reserves, so you can use the rest of the money for new loans."
